Gender,Age,Country/Region,Profession,Education Level,Favorite Celebrity/Genre,Free Time Interests,Online Habits,Life Goals
Male,41,Aruba,Trades and Services,Post-Graduate Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Male,62,Anguilla,Public Service and Non-Profit,High School Graduate,Science and Technology,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,22,Fiji,Tech and Engineering,Post-Graduate Degree,Science and Technology,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,44,Macao,Tech and Engineering,High School Graduate,Film and Television,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Male,56,Slovenia,Health and Wellness,High School Graduate,Entrepreneurship and Business,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Male,39,Slovakia (Slovak Republic),Public Service and Non-Profit,High School Graduate,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,29,Ecuador,Education and Research,High School Graduate,Music and Performing Arts,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,63,Faroe Islands,Tech and Engineering,High School Graduate,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,22,Namibia,Tech and Engineering,High School Graduate,Sports and Athletics,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,51,Canada,Tech and Engineering,High School Graduate,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,64,Chile,Education and Research,College Degree,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,37,Tokelau,Health and Wellness,Some College,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,29,Anguilla,Tech and Engineering,Some High School,Politics and Social Activism,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Achieving financial security
Male,67,Bolivia,Public Service and Non-Profit,Some College,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,65,Saudi Arabia,Business and Finance,Some College,Sports and Athletics,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,45,Zimbabwe,Tech and Engineering,College Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,62,Morocco,Tech and Engineering,College Degree,Film and Television,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,34,Georgia,Tech and Engineering,Some High School,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,59,Guinea-Bissau,Health and Wellness,Some High School,Music and Performing Arts,Reading or writing,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,63,India,Arts and Entertainment,Some College,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,28,Jordan,Public Service and Non-Profit,Some College,Literature and Writing,Reading or writing,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,50,Cape Verde,Public Service and Non-Profit,College Degree,Film and Television,Reading or writing,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Male,18,Saint Lucia,Business and Finance,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,32,Chile,Tech and Engineering,Some College,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,49,Iceland,Arts and Entertainment,Post-Graduate Degree,Politics and Social Activism,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,63,Malaysia,Business and Finance,Some College,Literature and Writing,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,54,Venezuela,Student / Retired / Unemployed / Prefer not to say,College Degree,Sports and Athletics,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,45,Belarus,Health and Wellness,Post-Graduate Degree,Politics and Social Activism,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,45,Christmas Island,Tech and Engineering,High School Graduate,Sports and Athletics,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,39,Myanmar,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Music and Performing Arts,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,41,Costa Rica,Trades and Services,Post-Graduate Degree,Politics and Social Activism,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,61,Maldives,Education and Research,College Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,57,Sri Lanka,Student / Retired / Unemployed / Prefer not to say,High School Graduate,Sports and Athletics,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,30,British Virgin Islands,Public Service and Non-Profit,College Degree,Politics and Social Activism,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Male,47,Guernsey,Public Service and Non-Profit,College Degree,Music and Performing Arts,Browsing the internet or watching videos,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,66,French Southern Territories,Education and Research,Post-Graduate Degree,Science and Technology,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,30,Nigeria,Business and Finance,College Degree,Science and Technology,Reading or writing,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,45,Lithuania,Tech and Engineering,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,42,Bahrain,Business and Finance,Some High School,Sports and Athletics,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Female,69,Ghana,Health and Wellness,Some College,Politics and Social Activism,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,19,American Samoa,Tech and Engineering,High School Graduate,Sports and Athletics,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,58,Palestinian Territory,Tech and Engineering,Post-Graduate Degree,Film and Television,Browsing the internet or watching videos,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,56,Niger,Health and Wellness,High School Graduate,Politics and Social Activism,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,53,Fiji,Education and Research,Post-Graduate Degree,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,51,Samoa,Education and Research,College Degree,Sports and Athletics,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,29,Denmark,Education and Research,Some College,Literature and Writing,Reading or writing,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,55,Central African Republic,Health and Wellness,High School Graduate,Sports and Athletics,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,38,Mali,Health and Wellness,High School Graduate,Film and Television,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Advancing in your career
Female,67,Botswana,Trades and Services,High School Graduate,Film and Television,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Male,54,Palestinian Territory,Education and Research,College Degree,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Female,21,Montenegro,Education and Research,High School Graduate,Music and Performing Arts,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Male,30,Cayman Islands,Student / Retired / Unemployed / Prefer not to say,Some College,Sports and Athletics,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,52,Puerto Rico,Health and Wellness,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,48,Croatia,Education and Research,Post-Graduate Degree,Literature and Writing,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Female,59,Sri Lanka,Education and Research,Some College,Entrepreneurship and Business,Browsing the internet or watching videos,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,34,Australia,Health and Wellness,College Degree,Film and Television,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,26,Honduras,Health and Wellness,Post-Graduate Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Male,41,Niger,Public Service and Non-Profit,College Degree,Sports and Athletics,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,69,Hong Kong,Public Service and Non-Profit,High School Graduate,Politics and Social Activism,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Male,39,Trinidad and Tobago,Education and Research,Some High School,Science and Technology,Reading or writing,"Mostly for entertainment, currently planning for the future",Advancing in your career
Male,66,France,Business and Finance,College Degree,Sports and Athletics,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,36,Tokelau,Public Service and Non-Profit,Some High School,Music and Performing Arts,Reading or writing,"Limited usage, taking time to relax and enjoy life",Achieving financial security
Female,32,American Samoa,Health and Wellness,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Achieving financial security
Female,36,Latvia,Business and Finance,Post-Graduate Degree,Politics and Social Activism,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,53,Czech Republic,Business and Finance,Post-Graduate Degree,Film and Television,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Advancing in your career
Female,39,Germany,Education and Research,College Degree,Music and Performing Arts,Reading or writing,"Balanced between work and leisure, trying to achieve a short-term personal goal",Contributing to a cause that is important to you
Male,31,Cape Verde,Business and Finance,Some High School,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Personal growth and self-improvement
Non-binary/Prefer not to say,58,Palau,Arts and Entertainment,College Degree,Music and Performing Arts,Exploring nature or learning about the environment,"Limited usage, taking time to relax and enjoy life",Contributing to a cause that is important to you
Female,38,Malta,Tech and Engineering,College Degree,Film and Television,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Male,35,Canada,Health and Wellness,Some College,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Advancing in your career
Male,35,Sudan,Arts and Entertainment,College Degree,Entrepreneurship and Business,Reading or writing,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
Female,62,New Zealand,Tech and Engineering,Some College,Politics and Social Activism,Exploring nature or learning about the environment,"Primarily for work, currently focusing on professional growth",Advancing in your career
Female,53,Estonia,Business and Finance,High School Graduate,Literature and Writing,Browsing the internet or watching videos,"Primarily for work, currently focusing on professional growth",Achieving financial security
Female,65,Bermuda,Trades and Services,Some College,Sports and Athletics,Exploring nature or learning about the environment,"Balanced between work and leisure, trying to achieve a short-term personal goal",Achieving financial security
Female,49,Kyrgyz Republic,Trades and Services,Post-Graduate Degree,Film and Television,Engaging in personal development or self-improvement activities,"Primarily for work, currently focusing on professional growth",Contributing to a cause that is important to you
Female,18,Norway,Education and Research,High School Graduate,Music and Performing Arts,Engaging in personal development or self-improvement activities,"Balanced between work and leisure, trying to achieve a short-term personal goal",Personal growth and self-improvement
Female,34,Christmas Island,Health and Wellness,College Degree,Film and Television,Exploring nature or learning about the environment,"Mostly for entertainment, currently planning for the future",Personal growth and self-improvement
Female,66,Iran,Tech and Engineering,Some College,Literature and Writing,Engaging in personal development or self-improvement activities,"Limited usage, taking time to relax and enjoy life",Personal growth and self-improvement
Female,40,Estonia,Public Service and Non-Profit,College Degree,Entrepreneurship and Business,Engaging in personal development or self-improvement activities,"Mostly for entertainment, currently planning for the future",Contributing to a cause that is important to you
